,"Symbol","Company Name","Security Type","Security Price","Equity Summary Score","Volume (90 Day Avg)","Market Capitalization","Dividend Yield","Company Headquarters Location","Sector","Industry","Optionable","Price Performance (52 Weeks)","Total Return (1 Yr Annualized)","Beta (1 Year Annualized)","Standard Deviation (1 Yr Annualized)","S&P Global Market Intelligence Valuation","S&P Global Market Intelligence Quality","S&P Global Market Intelligence Growth Stability","S&P Global Market Intelligence Financial Health","P/E (Price/TTM Earnings)","PEG Ratio","EPS Growth (Proj This Yr vs. Last Yr)","Institutional Ownership","Institutional Ownership (Last vs. Prior Qtr)","Analyst Sentiment"
0,"VHI","Valhi Inc.","Common Stock",32.01,10,0.02169,905150000,0.99969,"United States of America","Materials","Chemicals","No",21.34193,22.86102,1.151359,0.42039,99,87,99,90,7.2,,28.25112,3.2412,1.4045,"very bullish"
1,"HCCI","Heritage-Crystal Clean Inc","Common Stock",26.82,10,0.06569,649100000,0,"United States of America","Industrials","Commercial Services & Supplies","Yes (Option Chain)",-10.39091,-10.39091,0.89054,0.24307,95,87,88,84,10.4,,-20.07722,61.0935,-1.284,"very bullish"
2,"MMI","Marcus & Millichap Inc","Common Stock",44.81,10,0.15544,1780000000,1.11582,"United States of America","Real Estate","Real Estate Management & Development","Yes (Option Chain)",26.86863,30.1526,1.228162,0.32019,87,91,97,93,12.6,,5.35211,58.4675,1.2496,"very bullish"
3,"TMST","TimkenSteel Corp","Common Stock",19.65,10,0.80585,911410000,0,"United States of America","Materials","Metals & Mining","Yes (Option Chain)",63.47754,63.47754,1.783239,0.56178,97,91,98,90,6.2,,15.73209,76.0441,0.6722,"very bullish"
4,"SRTS","Sensus Healthcare Inc","Common Stock",7.41,10,0.3567,123580000,0,"United States of America","Health Care","Health Care Equipment & Supplies","No",94.23329,94.23329,1.291919,0.72514,73,72,72,75,29.6,,98,17.7405,119.8586,"very bullish"
5,"HCC","Warrior Met Coal Inc","Common Stock",33.48,10,0.80716,1730000000,0.71685,"United States of America","Materials","Metals & Mining","Yes (Option Chain)",111.23028,113.22369,-0.166996,0.52671,97,89,98,45,11.4,,119.61625,91.0554,3.9503,"very bullish"
6,"BBW","Build-A-Bear Workshop Inc","Common Stock",19.38,9.9,0.32065,303880000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",141.04478,155.09823,1.944904,0.8413,79,81,59,55,6.6,,9.70464,64.8744,10.2943,"very bullish"
7,"CNQ","Canadian Natural Resources Ltd","Common Stock",61.24,9.9,3.48557,71490000000,3.87959,"Canada","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",101.57999,110.1136,0.748358,0.33837,76,76,68,70,9.5,,59.792,68.9738,-0.5164,"very bullish"
8,"E","Eni SpA","Depository Receipt",28.03,9.9,0.57449,49610000000,6.90056,"Italy","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",17.5755,25.25693,0.589869,0.23308,88,44,97,93,7.6,0.73084,53.59583,1.2586,11.8725,"very bullish"
9,"GCO","Genesco Inc.","Common Stock",64.77,9.9,0.1794,884560000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",29.54,29.54,1.00128,0.42293,94,92,21,92,8.2,,-2.71654,99.6152,-3.212,"very bullish"
10,"IMKTA","Ingles Markets Inc","Common Stock",94.66,9.9,0.11177,1800000000,0.69723,"United States of America","Consumer Staples","Food & Staples Retailing","Yes (Option Chain)",50.03963,51.39951,0.65743,0.27669,95,85,91,82,6.9,,,87.1519,-1.78,"very bullish"
11,"IMO","Imperial Oil Ltd","Common Stock",50.69,9.9,0.53231,33920000000,2.08662,"Canada","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",75.09499,79.87673,0.30675,0.32523,74,76,91,83,10.7,0.56523,118.13699,20.4018,-5.2834,"very bullish"
12,"MEOH","Methanex Corp","Common Stock",51.04,9.9,0.44975,3760000000,1.13636,"Canada","Materials","Chemicals","Yes (Option Chain)",34.91938,36.2551,0.668224,0.37265,96,86,98,68,8.3,,3.61526,71.6266,0.6785,"very bullish"
13,"OFG","OFG Bancorp","Common Stock",27.23,9.9,0.23662,1330000000,2.20345,"United States of America","Financials","Banks","Yes (Option Chain)",14.94301,17.04326,0.565492,0.2953,87,68,74,39,9,,9.53737,94.1368,0.121,"very bullish"
14,"ORRF","Orrstown Financial Services Inc","Common Stock",23.49,9.9,0.02631,261700000,3.23542,"United States of America","Financials","Banks","No",-0.92788,2.2478,0.120961,0.20409,79,51,11,58,8.4,,-11.4527,44.0397,2.5974,"very bullish"
15,"PTR","Petrochina Co Ltd","Depository Receipt",48.31,9.9,0.20338,10190000000,7.2952,"China","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",34.08271,44.62827,0.574477,0.39172,96,85,30,96,6.8,1.49033,32.15944,2.2251,8.9705,"very bullish"
16,"VALE","Vale SA","Depository Receipt",16.39,9.9,35.45501,77690000000,16.28386,"Brazil","Materials","Metals & Mining","Yes (Option Chain)",-18.53877,-4.98149,0.487373,0.41644,99,88,89,84,3.3,,-12.19239,23.7977,0.2151,"very bullish"
17,"SU","Suncor Energy Inc.","Common Stock",36.05,9.9,7.94537,51780000000,3.67494,"Canada","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",68.30065,75.1804,0.534341,0.38643,88,73,57,81,13,1.62095,126.48438,59.2821,-1.3861,"very bullish"
18,"TTE","TotalEnergies SE","Depository Receipt",50.05,9.9,2.92077,129650000000,6.04667,"France","Energy","Oil, Gas & Consumable Fuels","No",13.03071,20.37056,0.501887,0.2593,79,50,86,89,7.7,0.16814,72.17066,6.052,4.2518,"very bullish"
19,"TS","Tenaris SA, Luxembourg","Depository Receipt",30.18,9.9,2.79094,17810000000,2.25315,"Luxembourg","Energy","Energy Equipment & Services","Yes (Option Chain)",41.15996,44.64586,0.553603,0.33458,34,11,44,39,16.2,2.0539,46.88172,12.1222,47.054,"very bullish"
20,"WMK","Weis Markets Inc.","Common Stock",80.14,9.9,0.06456,2160000000,1.5972,"United States of America","Consumer Staples","Food & Staples Retailing","Yes (Option Chain)",54.56123,57.99313,0.061235,0.25551,72,83,68,89,19.8,,,38.4085,-0.257,"very bullish"
21,"WY","Weyerhaeuser Co","Common Stock (REIT)",40.05,9.9,4.17649,29820000000,1.79775,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","Yes (Option Chain)",3.30152,10.366,0.640551,0.2477,85,86,84,78,11.2,,-15.78635,82.9712,2.3274,"very bullish"
22,"XOM","Exxon Mobil Corp","Common Stock",86.41,9.9,30.14532,364050000000,4.0736,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",50.96087,59.19913,0.091642,0.29718,59,80,90,73,14.3,0.75732,73.79182,54.2965,4.7061,"very bullish"
23,"NATR","Nature's Sunshine Products Inc","Common Stock",16.35,9.9,0.05619,317990000,0,"United States of America","Consumer Staples","Personal Products","No",-21.432,-21.432,0.458041,0.26879,80,80,98,88,11.5,,-15.60284,73.9538,0.5948,"very bullish"
24,"AMPH","Amphastar Pharmaceuticals Inc","Common Stock",35.31,9.9,0.40454,1720000000,0,"United States of America","Health Care","Pharmaceuticals","Yes (Option Chain)",101.88679,101.88679,0.115917,0.3649,95,97,84,85,28.2,,20.21898,60.3123,4.4508,"very bullish"
25,"SHEL","Shell Plc","Depository Receipt",53.73,9.9,4.96599,201740000000,3.32589,"United Kingdom","Energy","Oil, Gas & Consumable Fuels","No",41.39474,47.06819,0.520973,0.3001,83,57,83,87,10.4,,63.89558,0.606,64713.1038,"very bullish"
