Ex/EFF_DATE	TYPE	CASH_AMOUNT	DECLARATION_DATE	RECORD_DATE	PAYMENT_DATE
06/30/2022	CASH	$0.52	05/04/2022	07/01/2022	08/10/2022
04/07/2022	CASH	$0.52	03/10/2022	04/08/2022	05/10/2022
01/06/2022	CASH	$0.43	12/08/2021	01/07/2022	02/10/2022
10/07/2021	CASH	$0.43	09/28/2021	10/08/2021	11/10/2021
07/01/2021	CASH	$0.43	05/06/2021	07/02/2021	08/10/2021
03/31/2021	CASH	$0.43	03/09/2021	04/02/2021	05/10/2021
01/07/2021	CASH	$0.43	12/10/2020	01/08/2021	02/10/2021
10/08/2020	CASH	$0.43	09/29/2020	10/09/2020	11/10/2020
07/01/2020	CASH	$0.43	05/07/2020	07/02/2020	08/10/2020
04/02/2020	CASH	$0.43	03/09/2020	04/03/2020	05/08/2020
01/02/2020	CASH	$0.43	12/13/2019	01/03/2020	02/10/2020
