Ex/EFF_DATE	TYPE	CASH_AMOUNT	DECLARATION_DATE	RECORD_DATE	PAYMENT_DATE
08/19/2022	CASH	$1.49	08/12/2022	08/22/2022	09/12/2022
05/19/2022	CASH	$1.49	05/10/2022	05/20/2022	06/12/2022
02/17/2022	CASH	$1.49	02/08/2022	02/18/2022	03/12/2022
11/18/2021	CASH	$1.48	11/09/2021	11/19/2021	12/12/2021
08/20/2021	CASH	$1.48	08/13/2021	08/23/2021	09/12/2021
05/20/2021	CASH	$1.48	05/11/2021	05/21/2021	06/12/2021
02/11/2021	CASH	$1.48	02/02/2021	02/12/2021	03/12/2021
11/19/2020	CASH	$1.47	11/10/2020	11/20/2020	12/12/2020
08/21/2020	CASH	$1.47	08/13/2020	08/24/2020	09/12/2020
05/21/2020	CASH	$1.47	05/12/2020	05/22/2020	06/12/2020
02/13/2020	CASH	$1.47	02/04/2020	02/14/2020	03/12/2020
