,HFI_RF,Mkt_RF,SMB,HML
199701,0.031700000000000006,0.0499,-0.0195,-0.014199999999999999
199702,0.007899999999999999,-0.0049,-0.0322,0.0567
199703,-0.014199999999999999,-0.050300000000000004,-0.0036,0.0339
199704,0.0005999999999999998,0.0404,-0.057699999999999994,0.0007000000000000001
199705,0.0357,0.0674,0.0519,-0.041299999999999996
199706,0.0274,0.040999999999999995,0.0122,0.0158
199707,0.0427,0.0733,-0.027400000000000004,0.0026000000000000003
199708,0.0011000000000000003,-0.0415,0.0728,0.0118
199709,0.0361,0.0535,0.0253,0.0037
199710,-0.0169,-0.038,-0.0074,0.0227
199711,-0.0058000000000000005,0.0298,-0.051100000000000007,0.011899999999999999
199712,0.0081,0.013200000000000002,-0.024900000000000002,0.0384
199801,-0.0062,0.0015,-0.0106,-0.0163
199802,0.0337,0.0704,0.0032,-0.0085
199803,0.0315,0.047599999999999996,-0.011399999999999999,0.0139
199804,0.0072000000000000015,0.0073,0.0007000000000000001,0.0094
199805,-0.0208,-0.030699999999999998,-0.0336,0.034
199806,-0.0017999999999999995,0.0318,-0.032,-0.0197
199807,-0.0086,-0.0246,-0.0492,-0.0178
199808,-0.0824,-0.1608,-0.057,0.0353
199809,0.005900000000000001,0.061500000000000006,0.001,-0.0342
199810,0.0185,0.0713,-0.031200000000000002,-0.0223
199811,0.0347,0.061,0.0122,-0.0325
199812,0.0257,0.0616,-0.005,-0.04190000000000001
199901,0.0188,0.035,0.0076,-0.046
199902,-0.011899999999999999,-0.0408,-0.0609,0.0192
199903,0.0305,0.0345,-0.0379,-0.027400000000000004
199904,0.0455,0.0433,0.0391,0.0246
199905,0.008100000000000001,-0.0246,0.0334,0.0235
199906,0.0373,0.0477,0.0309,-0.0319
199907,0.004400000000000001,-0.0349,0.026000000000000002,-0.0044
199908,-0.0007000000000000001,-0.0138,-0.0094,-0.0187
199909,0.0035,-0.0279,0.034100000000000005,-0.035
199910,0.015099999999999999,0.061200000000000004,-0.0664,-0.0337
199911,0.0497,0.0337,0.07200000000000001,-0.0611
199912,0.0729,0.0772,0.0702,-0.08320000000000001
200001,0.005400000000000002,-0.047400000000000005,0.0579,-0.0191
200002,0.0633,0.0245,0.21420000000000003,-0.09699999999999999
200003,0.0127,0.052000000000000005,-0.1723,0.0817
200004,-0.019299999999999998,-0.064,-0.0668,0.0726
200005,-0.015,-0.0442,-0.0609,0.0481
200006,0.028600000000000004,0.0464,0.1285,-0.0843
200007,-0.0042,-0.025099999999999997,-0.030600000000000002,0.083
200008,0.032400000000000005,0.0703,-0.0062,-0.0138
200009,-0.012199999999999999,-0.0545,-0.0182,0.0717
200010,-0.016300000000000002,-0.0276,-0.038700000000000005,0.057
200011,-0.0303,-0.1072,-0.034300000000000004,0.1232
200012,0.017,0.011899999999999999,0.0072,0.0761
200101,0.025,0.0313,0.0669,-0.0509
200102,-0.0182,-0.1005,-0.0079,0.12480000000000001
200103,-0.015300000000000001,-0.0726,0.0024,0.06420000000000001
200104,0.0163,0.07940000000000001,0.0055000000000000005,-0.0468
200105,0.0115,0.0072,0.024900000000000002,0.0338
200106,0.0023,-0.0194,0.062400000000000004,-0.0113
200107,-0.0087,-0.0213,-0.04190000000000001,0.0521
200108,-0.0049,-0.0646,0.0248,0.023
200109,-0.0286,-0.0925,-0.06230000000000001,0.014499999999999999
200110,0.0162,0.0246,0.07490000000000001,-0.0766
200111,0.0185,0.07540000000000001,-0.0047,0.0222
200112,0.015600000000000001,0.016,0.04730000000000001,0.0085
200201,0.0052,-0.0144,0.011899999999999999,0.0344
200202,-0.0060999999999999995,-0.0229,-0.01,0.0216
200203,0.017400000000000002,0.0424,0.0421,0.0106
200204,0.004699999999999999,-0.052000000000000005,0.0596,0.0388
200205,0.0024,-0.0138,-0.032100000000000004,0.015300000000000001
200206,-0.0162,-0.0721,0.0429,-0.0003
200207,-0.023900000000000005,-0.0818,-0.05280000000000001,-0.0385
200208,0.0045,0.005,-0.0286,0.0329
200209,-0.0138,-0.1035,0.024,0.0147
200210,0.0058,0.0784,-0.034,-0.0394
200211,0.0197,0.0596,0.0319,-0.0121
200212,-0.001,-0.0576,0.0009,0.021400000000000002
200301,0.0043,-0.0257,0.013500000000000002,-0.008100000000000001
200302,0.0,-0.0188,-0.0045000000000000005,-0.0138
200303,0.00019999999999999987,0.010900000000000002,0.0103,-0.0191
200304,0.024300000000000002,0.08220000000000001,0.006600000000000001,0.0117
200305,0.031400000000000004,0.0605,0.047400000000000005,0.005
200306,0.0125,0.014199999999999999,0.0177,0.0015
200307,0.0109,0.0235,0.050499999999999996,-0.0124
200308,0.0159,0.0234,0.0259,0.0154
200309,0.0089,-0.0124,0.008,0.0015
200310,0.0222,0.0608,0.0269,0.0197
200311,0.0087,0.013500000000000002,0.0207,0.0178
200312,0.0175,0.0429,-0.0268,0.0161
200401,0.017400000000000002,0.0215,0.0255,0.0248
200402,0.0108,0.013999999999999999,-0.0158,0.0091
200403,0.005600000000000001,-0.013200000000000002,0.0172,0.0028000000000000004
200404,-0.013,-0.0183,-0.0168,-0.0309
200405,-0.005,0.0117,-0.002,-0.0024
200406,0.006199999999999999,0.018600000000000002,0.0226,0.011899999999999999
200407,-0.009500000000000001,-0.0406,-0.0381,0.0323
200408,9.999999999999983e-05,0.0008,-0.0149,0.01
200409,0.0141,0.016,0.0302,-0.0001
200410,0.007299999999999999,0.0143,0.0015,-0.0022
200411,0.025500000000000002,0.0454,0.0374,0.014199999999999999
200412,0.014,0.034300000000000004,-0.0003,-0.0022
200501,-0.0004000000000000002,-0.0276,-0.0172,0.0206
200502,0.0186,0.0189,-0.005699999999999999,0.015300000000000001
200503,-0.0107,-0.0197,-0.013999999999999999,0.0204
200504,-0.017400000000000002,-0.026099999999999998,-0.0393,0.0006
200505,0.006100000000000001,0.0365,0.028900000000000002,-0.0064
200506,0.0129,0.005699999999999999,0.0259,0.0282
200507,0.0205,0.0392,0.028999999999999998,-0.0078000000000000005
200508,0.0076,-0.0122,-0.0098,0.013200000000000002
200509,0.0189,0.0049,-0.006600000000000001,0.0072
200510,-0.0168,-0.0202,-0.0125,0.0043
200511,0.0161,0.0361,0.01,-0.0118
200512,0.0182,-0.0025,-0.0042,0.002
200601,0.0315,0.0304,0.053899999999999997,0.0108
200602,0.0026999999999999993,-0.003,-0.0038,-0.0034999999999999996
200603,0.016,0.0146,0.0345,0.0059
200604,0.0137,0.0073,-0.014199999999999999,0.0234
